experiment,variant,OOF_weighted_F1,OOF_kappa,wasserstein_drift_mean,n_features
Experiment A — GLCM quantization,8.0,0.7496615051430301,0.6296346827035275,0.1685665120843402,87.0
Experiment A — GLCM quantization,16.0,0.7432196597534009,0.6188033980514527,0.263628567160823,87.0
Experiment A — GLCM quantization,32.0,0.7474945731286224,0.6267983471246759,0.2895073577565517,87.0
Experiment A — GLCM quantization,64.0,0.7413480752975595,0.6170373495520318,0.264111579938273,87.0
Experiment A — GLCM quantization,128.0,0.7500972923650626,0.6310300813288736,0.2661923030621674,87.0
Experiment A — GLCM quantization,256.0,0.7491888901989621,0.6298654241527948,0.262601157800042,87.0
Experiment B — BS Gaussian smoothing,0.0,0.7491888901989621,0.6298654241527948,0.262601157800042,87.0
Experiment B — BS Gaussian smoothing,1.0,0.749674259374288,0.6309487038424064,0.2573255254304718,87.0
Experiment B — BS Gaussian smoothing,2.0,0.7495720345806041,0.6299792647018236,0.2469305946122418,87.0
Experiment B — BS Gaussian smoothing,4.0,0.7450035081906583,0.6227813300814788,0.2056873877459704,87.0
Experiment B — BS Gaussian smoothing,8.0,0.7538495093196971,0.6367451731347886,0.1629689968013703,87.0
Experiment C — Destriped vs original BS,C1 — original (dB),0.7450291689901757,0.623195583068429,0.2680020996681174,87.0
Experiment C — Destriped vs original BS,C2 — destriped FFT + median 3x3 ×2 (canonical CNN raster),0.74987441875418,0.6275355652073407,0.2476655864407088,87.0
Experiment C — Destriped vs original BS,C3 — destriped FFT only (no median),0.7500835188571988,0.6308949923311473,0.2722072683942217,87.0
Experiment D — Texture order,D1 — first-order only (bathy + raw BS + focal + rank + HSI + acr_sapa_w21),0.7500372948786819,0.630951528388329,,75.0
Experiment D — Texture order,D2 — GLCM only at quant=128 (bathy + raw BS + GLCM + acr_sapa_w21),0.7380698114618958,0.6112041436730575,0.2661923030621674,59.0
Experiment D — Texture order,D3 — combined (D1 ∪ D2 GLCM at quant=128),0.7500972923650626,0.6310300813288736,0.2661923030621674,87.0
