column_name,source_category,extraction_method,raster_source,reference
bathy,BATHY,direct pixel sample,bathymetry.tif,Stage 1 §0 center pixel
backscatter,BS,direct pixel sample,backscatter.tif,Stage 1 §0 center pixel
slope,BATHY,WbW single-scale derivative,bathymetry.tif,CLAUDE.md WbW single-scale continuous
profile_curvature,BATHY,WbW single-scale derivative,bathymetry.tif,CLAUDE.md WbW single-scale continuous
plan_curvature,BATHY,WbW single-scale derivative,bathymetry.tif,CLAUDE.md WbW single-scale continuous
max_curvature,BATHY,WbW single-scale derivative,bathymetry.tif,CLAUDE.md WbW single-scale continuous
min_curvature,BATHY,WbW single-scale derivative,bathymetry.tif,CLAUDE.md WbW single-scale continuous
mean_curvature,BATHY,WbW single-scale derivative,bathymetry.tif,CLAUDE.md WbW single-scale continuous
tangential_curvature,BATHY,WbW single-scale derivative,bathymetry.tif,CLAUDE.md WbW single-scale continuous
total_curvature,BATHY,WbW single-scale derivative,bathymetry.tif,CLAUDE.md WbW single-scale continuous
gaussian_curvature,BATHY,WbW single-scale derivative,bathymetry.tif,CLAUDE.md WbW single-scale continuous
ruggedness_index,BATHY,WbW single-scale derivative,bathymetry.tif,CLAUDE.md WbW single-scale continuous
geomorphons,BATHY,WbW landform classification,bathymetry.tif,CLAUDE.md WbW single-scale categorical
pennock,BATHY,WbW landform classification,bathymetry.tif,CLAUDE.md WbW single-scale categorical
northness,BATHY,cos of aspect from bathy,bathymetry.tif,CLAUDE.md WbW single-scale continuous
eastness,BATHY,sin of aspect from bathy,bathymetry.tif,CLAUDE.md WbW single-scale continuous
devmax_local,BATHY,WbW multi-scale DEV (3-20),bathymetry.tif,CLAUDE.md WbW multi-scale
devmax_local_scale,BATHY,WbW multi-scale DEV scale (3-20),bathymetry.tif,CLAUDE.md WbW multi-scale
devmax_meso,BATHY,WbW multi-scale DEV (20-200),bathymetry.tif,CLAUDE.md WbW multi-scale
